# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
41973.0000 M1317 518126 1 2959.0000 n78 n57 250 N n78->n57
41983.6000 M1286 927694 2 3878.6000 n67 n14 235 N n67->n74->n14
42060.3000 M1295 869568 8 3680.3000 n68 n71 238 N n68->n77->n80->n66->n39->n66->n53->n2->n71
42076.9000 M1050 812503 7 10936.9000 n46 n59 117 N n46->n92->n32->n30->n86->n6->n83->n59
42095.6000 M1296 670133 5 3686.6000 n63 n98 238 N n63->n78->n72->n96->n94->n98
42725.7000 M1407 568794 2 1070.7000 n57 n81 282 N n57->n18->n81
42913.2000 M1249 917499 3 5897.2000 n51 n49 201 N n51->n87->n97->n49
43088.7000 M1263 541915 6 5663.7000 n59 n50 205 N n59->n91->n4->n79->n88->n22->n50
43207.2000 M999 508592 15 13607.2000 n57 n95 73 N n57->n37->n20->n68->n39->n88->n78->n33->n20->n33->n72->n96->n16->n28->n18->n95
43434.9000 M1332 852274 3 3989.9000 n67 n51 233 N n67->n57->n18->n51
43449.4000 M1215 933199 6 7440.4000 n4 n69 175 N n4->n61->n47->n48->n12->n47->n69
43529.3000 M1392 666423 2 2315.3000 n16 n45 261 N n16->n80->n45
43598.2000 M1447 841529 2 770.2000 n81 n28 287 N n81->n76->n28
44160.1000 M1372 742808 1 3534.1000 n33 n34 241 N n33->n34
44380.5000 M1204 505726 4 8693.5000 n30 n69 155 N n30->n68->n89->n94->n69
44503.4000 M1045 991525 8 13516.4000 n52 n18 74 N n52->n32->n63->n84->n2->n99->n94->n90->n18
44604.9000 M1482 719809 1 739.9000 n74 n93 287 N n74->n93
45471.3000 M1044 738030 10 14517.3000 n83 n0 58 N n83->n64->n96->n87->n59->n92->n44->n78->n61->n2->n0
45843.4000 M1436 980183 3 3345.4000 n8 n30 244 N n8->n54->n90->n30
46227.0000 M1334 862854 6 6721.0000 n94 n73 187 N n94->n90->n55->n48->n93->n20->n73
46407.1000 M1390 508837 5 5247.1000 n39 n64 212 N n39->n26->n60->n36->n35->n64
46893.7000 M1429 938212 3 4610.7000 n82 n93 223 N n82->n84->n34->n93
47032.0000 M1315 738726 6 8072.0000 n20 n42 165 N n20->n24->n45->n69->n99->n85->n42
47248.0000 M1231 665933 7 10791.0000 n75 n60 120 N n75->n92->n46->n18->n95->n76->n48->n60
47358.2000 M1519 857200 1 2430.2000 n61 n45 259 N n61->n45
47385.0000 M1589 607480 2 362.0000 n41 n63 293 N n41->n76->n63
48027.8000 M1419 629889 7 6020.8000 n81 n80 199 N n81->n76->n28->n53->n66->n88->n44->n80
48084.3000 M1488 570967 3 4056.3000 n24 n71 232 N n24->n32->n46->n71
48487.1000 M1356 603389 8 8355.1000 n92 n26 160 N n92->n89->n52->n32->n37->n73->n59->n79->n26
48511.4000 M1302 506266 11 9924.4000 n2 n93 134 N n2->n66->n83->n12->n99->n20->n22->n91->n53->n4->n83->n93
48608.0000 M1452 577307 2 5632.0000 n77 n84 206 N n77->n18->n84
48794.1000 M1551 790526 1 2888.1000 n77 n0 251 N n77->n0
49107.3000 M1646 886543 1 393.3000 n61 n32 293 N n61->n32
49787.1000 M1652 985633 1 905.1000 n37 n52 284 N n37->n52
50005.1000 M1586 613258 3 3070.1000 n92 n69 248 N n92->n62->n48->n69
50025.7000 M1681 523504 2 297.7000 n69 n54 295 N n69->n10->n54
50212.8000 M1688 526270 1 263.8000 n76 n83 295 N n76->n83
50473.3000 M1585 694315 4 3570.3000 n46 n24 240 N n46->n71->n36->n39->n24
50639.6000 M1677 946684 2 1025.6000 n30 n12 282 N n30->n94->n12
50865.7000 M1653 625152 2 1958.7000 n70 n91 267 N n70->n53->n91
50965.3000 M1228 567631 18 14588.3000 n59 n40 56 N n59->n91->n60->n69->n93->n91->n14->n35->n96->n64->n2->n68->n20->n2->n34->n36->n68->n75->n40
50984.6000 M1518 972128 3 6084.6000 n69 n88 198 N n69->n63->n55->n88
50995.5000 M1471 687324 4 7452.5000 n84 n44 175 N n84->n34->n71->n34->n44
51333.5000 M1706 557714 2 839.5000 n28 n50 286 N n28->n66->n50
51361.4000 M1556 675642 3 5315.4000 n30 n0 211 N n30->n94->n43->n0
51375.1000 M1126 569336 14 17990.1000 n97 n57 0 N n97->n60->n45->n50->n37->n36->n69->n93->n64->n56->n18->n84->n58->n83->n57
51676.2000 M1526 745006 3 6530.2000 n98 n18 191 N n98->n35->n42->n18
51830.0000 M1658 899838 4 2779.0000 n94 n91 253 N n94->n96->n85->n48->n91
51967.4000 M1523 825621 11 6918.4000 n90 n73 184 N n90->n12->n30->n26->n68->n66->n2->n34->n45->n68->n22->n73
53135.9000 M1610 669266 5 5488.9000 n14 n97 208 N n14->n96->n80->n14->n76->n97
53779.8000 M1566 816071 5 7429.8000 n96 n28 176 N n96->n37->n41->n46->n34->n28
54066.9000 M1814 912284 1 390.9000 n95 n50 293 N n95->n50
54362.6000 M1807 560050 2 902.6000 n32 n86 284 N n32->n54->n86
54454.7000 M1740 971815 1 2974.7000 n41 n76 250 N n41->n76
54456.8000 M1718 518991 1 3617.8000 n41 n76 239 N n41->n76
54467.2000 M1701 957642 4 4118.2000 n90 n84 231 N n90->n64->n56->n58->n84
54516.5000 M1557 770990 5 8441.5000 n78 n68 159 N n78->n98->n35->n42->n64->n68
55045.3000 M1626 636725 7 6940.3000 n61 n51 184 N n61->n45->n50->n60->n40->n28->n95->n51
55153.2000 M1767 704741 4 2853.2000 n65 n57 252 N n65->n54->n78->n97->n57
55171.8000 M1623 763237 8 7153.8000 n92 n35 180 N n92->n62->n48->n54->n40->n70->n2->n53->n35
55257.3000 M1852 787721 1 435.3000 n70 n69 292 N n70->n69
55491.3000 M1696 542996 5 5305.3000 n55 n57 211 N n55->n58->n37->n6->n91->n57
55950.2000 M1683 587037 7 6157.2000 n89 n63 197 N n89->n82->n79->n62->n94->n59->n48->n63
56195.2000 M1853 654908 2 1345.2000 n94 n54 277 N n94->n99->n54
56499.3000 M1780 624104 2 3818.3000 n88 n47 236 N n88->n40->n47
56611.8000 M1769 512968 3 4254.8000 n52 n43 229 N n52->n51->n76->n43
57066.9000 M1773 978163 7 4586.9000 n36 n75 223 N n36->n92->n24->n46->n70->n77->n92->n75
57107.0000 M1904 837489 1 739.0000 n85 n4 287 N n85->n4
57143.3000 M1533 759317 6 11785.3000 n63 n28 103 N n63->n38->n92->n47->n88->n33->n28
57175.9000 M1787 618973 6 4274.9000 n47 n53 228 N n47->n97->n54->n86->n75->n54->n53
57418.2000 M1832 759387 1 3180.2000 n14 n35 246 N n14->n35
57473.3000 M1827 687396 1 3389.3000 n88 n0 243 N n88->n0
57575.9000 M1569 764955 7 11140.9000 n63 n22 114 N n63->n55->n58->n28->n20->n75->n12->n22
57624.0000 M1883 791683 1 1885.0000 n14 n68 268 N n14->n68
57793.8000 M1831 513989 4 3585.8000 n67 n71 240 N n67->n75->n46->n47->n71
58163.9000 M1820 504853 2 4301.9000 n14 n38 228 N n14->n43->n38
58377.2000 M1724 926690 6 7360.2000 n61 n96 177 N n61->n65->n62->n85->n80->n48->n96
58445.9000 M1968 791456 2 198.9000 n90 n76 296 N n90->n89->n76
58572.3000 M1972 912908 1 211.3000 n78 n48 296 N n78->n48
58644.5000 M1705 526632 5 8178.5000 n93 n70 163 N n93->n14->n35->n14->n80->n70
58802.2000 M1908 935109 2 2315.2000 n35 n18 261 N n35->n14->n18
58845.0000 M1573 583246 10 12301.0000 n86 n80 94 N n86->n57->n89->n52->n86->n83->n4->n74->n73->n93->n80
58877.0000 M1779 809029 7 6230.0000 n68 n37 196 N n68->n38->n47->n71->n47->n89->n94->n37
58918.4000 M1910 604561 3 2381.4000 n39 n40 260 N n39->n98->n18->n40
59085.9000 M1635 644857 12 10720.9000 n38 n43 121 N n38->n53->n91->n12->n81->n92->n12->n49->n76->n86->n30->n69->n43
59201.1000 M1952 685284 1 1436.1000 n8 n72 276 N n8->n72
59576.1000 M2003 925922 1 301.1000 n84 n41 294 N n84->n41
59577.6000 M1898 793485 2 3397.6000 n4 n64 243 N n4->n26->n64
60013.6000 M1826 588551 4 5961.6000 n90 n43 200 N n90->n71->n68->n77->n43
60026.4000 M1629 718585 8 11840.4000 n0 n35 102 N n0->n85->n43->n0->n49->n40->n22->n81->n35
60031.6000 M1961 697039 1 2003.6000 n77 n62 266 N n77->n62
60061.4000 M1931 919912 2 2899.4000 n56 n97 251 N n56->n73->n97
60364.2000 M1999 962809 1 1213.2000 n77 n69 279 N n77->n69
60475.3000 M1656 881015 11 11483.3000 n82 n2 108 N n82->n89->n36->n92->n89->n10->n44->n30->n41->n92->n48->n2
60549.5000 M1917 901242 1 3810.5000 n67 n63 236 N n67->n63
61221.1000 M1872 566406 6 5810.1000 n73 n78 203 N n73->n93->n18->n80->n48->n89->n78
61303.8000 M1749 695858 10 9555.8000 n86 n61 140 N n86->n93->n73->n93->n80->n93->n70->n80->n48->n89->n61
61447.2000 M2004 805317 3 2147.2000 n55 n58 264 N n55->n47->n85->n58
61932.7000 M2040 567389 2 1578.7000 n87 n90 273 N n87->n38->n90
62769.9000 M1861 645752 8 7688.9000 n40 n20 171 N n40->n88->n67->n63->n34->n88->n85->n63->n20
62859.8000 M2018 579415 8 3155.8000 n47 n2 247 N n47->n85->n34->n76->n52->n34->n88->n85->n2
63330.3000 M1752 500376 7 11483.3000 n95 n39 108 N n95->n90->n89->n40->n47->n43->n57->n39
63600.3000 M1588 794355 8 16606.3000 n76 n74 23 N n76->n63->n95->n90->n72->n85->n46->n99->n74
64184.3000 M1930 801092 6 7055.3000 n75 n78 182 N n75->n12->n22->n84->n33->n4->n78
64336.9000 M1987 910425 5 5533.9000 n68 n79 207 N n68->n85->n34->n76->n67->n79
64732.2000 M2129 616647 3 1715.2000 n51 n65 271 N n51->n63->n90->n65
64783.3000 M1916 742577 3 8069.3000 n43 n61 165 N n43->n10->n96->n61
65047.7000 M2166 786512 1 938.7000 n89 n51 284 N n89->n51
65454.6000 M2165 997504 2 1371.6000 n87 n71 277 N n87->n46->n71
65909.8000 M2137 525966 1 2654.8000 n73 n43 255 N n73->n43
67092.0000 M1887 648441 9 11248.0000 n38 n42 112 N n38->n60->n65->n0->n10->n39->n10->n80->n37->n42
67230.0000 M2013 543835 9 7682.0000 n55 n93 171 N n55->n47->n85->n34->n76->n63->n34->n38->n96->n93
67498.6000 M2170 512812 8 3278.6000 n89 n39 245 N n89->n51->n91->n53->n76->n77->n44->n75->n39
67578.5000 M1966 664004 6 9391.5000 n79 n72 143 N n79->n71->n85->n63->n0->n66->n72
67717.7000 M1766 579075 11 15448.7000 n41 n58 42 N n41->n76->n43->n38->n87->n95->n26->n68->n38->n96->n93->n58
67765.7000 M2008 723942 7 8352.7000 n64 n93 160 N n64->n4->n94->n53->n43->n83->n60->n93
67873.4000 M2214 677092 1 2341.4000 n70 n48 260 N n70->n48
68134.1000 M2261 742757 2 1251.1000 n26 n2 279 N n26->n87->n2
68355.6000 M2239 870246 3 2112.6000 n14 n96 264 N n14->n76->n77->n96
68566.6000 M2026 997692 3 8627.6000 n91 n75 156 N n91->n77->n32->n75
69104.4000 M2133 797420 3 5966.4000 n54 n30 200 N n54->n22->n81->n30
