# time  ID  size  fromHost  toHost  TTL  isResponse
10270.0000 M346 902949 n52 n66 300 N 
10299.0000 M347 629812 n83 n72 300 N 
10332.0000 M348 575180 n18 n25 300 N 
10361.0000 M349 595090 n54 n56 300 N 
10394.0000 M350 522499 n78 n88 300 N 
10421.0000 M351 526550 n57 n63 300 N 
10453.0000 M352 761454 n34 n91 300 N 
10484.0000 M353 986239 n79 n49 300 N 
10511.0000 M354 525850 n47 n76 300 N 
10536.0000 M355 994710 n19 n89 300 N 
10564.0000 M356 602461 n13 n8 300 N 
10597.0000 M357 770608 n47 n25 300 N 
10622.0000 M358 627256 n34 n83 300 N 
10653.0000 M359 734154 n10 n63 300 N 
10685.0000 M360 642262 n51 n40 300 N 
10715.0000 M361 664301 n94 n75 300 N 
10740.0000 M362 707116 n81 n69 300 N 
10773.0000 M363 569001 n87 n9 300 N 
10807.0000 M364 968185 n67 n80 300 N 
10834.0000 M365 795995 n26 n33 300 N 
10865.0000 M366 592389 n50 n44 300 N 
10894.0000 M367 715433 n94 n29 300 N 
10922.0000 M368 863107 n95 n29 300 N 
10954.0000 M369 835522 n46 n96 300 N 
10985.0000 M370 750128 n79 n67 300 N 
11013.0000 M371 556832 n73 n67 300 N 
11047.0000 M372 724691 n14 n40 300 N 
11080.0000 M373 607943 n92 n44 300 N 
11114.0000 M374 786262 n73 n70 300 N 
11140.0000 M375 892592 n35 n38 300 N 
11173.0000 M376 969017 n57 n33 300 N 
11203.0000 M377 672041 n59 n4 300 N 
11229.0000 M378 695064 n94 n59 300 N 
11256.0000 M379 718785 n14 n83 300 N 
11290.0000 M380 979779 n95 n68 300 N 
11324.0000 M381 762913 n56 n81 300 N 
11355.0000 M382 939433 n80 n65 300 N 
11383.0000 M383 910514 n25 n74 300 N 
11409.0000 M384 882334 n32 n2 300 N 
11441.0000 M385 516767 n82 n13 300 N 
11474.0000 M386 841814 n63 n80 300 N 
11499.0000 M387 692630 n45 n1 300 N 
11530.0000 M388 952135 n56 n63 300 N 
11558.0000 M389 930855 n29 n34 300 N 
11587.0000 M390 652618 n86 n51 300 N 
11621.0000 M391 957666 n62 n43 300 N 
11648.0000 M392 906139 n30 n46 300 N 
11681.0000 M393 575325 n58 n36 300 N 
11708.0000 M394 809108 n33 n89 300 N 
11735.0000 M395 815148 n89 n48 300 N 
11760.0000 M396 859381 n19 n55 300 N 
11787.0000 M397 593734 n79 n94 300 N 
11819.0000 M398 857534 n70 n58 300 N 
11849.0000 M399 980934 n69 n31 300 N 
11877.0000 M400 576531 n26 n42 300 N 
11905.0000 M401 864199 n63 n59 300 N 
11933.0000 M402 937943 n56 n69 300 N 
11959.0000 M403 940391 n30 n10 300 N 
11990.0000 M404 731889 n39 n50 300 N 
12019.0000 M405 683524 n42 n36 300 N 
12046.0000 M406 604457 n23 n53 300 N 
12073.0000 M407 510209 n41 n6 300 N 
12107.0000 M408 572907 n53 n77 300 N 
12132.0000 M409 541506 n81 n16 300 N 
12157.0000 M410 589570 n76 n75 300 N 
12189.0000 M411 588971 n52 n88 300 N 
12215.0000 M412 877118 n24 n8 300 N 
12244.0000 M413 802148 n74 n78 300 N 
12277.0000 M414 706958 n29 n89 300 N 
12304.0000 M415 946743 n59 n16 300 N 
12331.0000 M416 872070 n20 n11 300 N 
12362.0000 M417 855536 n31 n15 300 N 
12393.0000 M418 514234 n15 n65 300 N 
12418.0000 M419 536572 n26 n41 300 N 
12445.0000 M420 700928 n97 n62 300 N 
12470.0000 M421 929738 n34 n92 300 N 
12502.0000 M422 753746 n74 n41 300 N 
12536.0000 M423 936332 n89 n51 300 N 
12570.0000 M424 508681 n82 n96 300 N 
12602.0000 M425 966422 n14 n19 300 N 
12632.0000 M426 712642 n17 n51 300 N 
12661.0000 M427 743742 n39 n5 300 N 
